"w_martin","top_alternative","top_score"
0.756,"PB1",0.547190110565635
0.758,"PB1",0.547098852689583
0.76,"PB1",0.547006258093914
0.762,"PB1",0.546912297192104
0.764,"PB1",0.546816939517992
0.766,"PB1",0.546720153692849
0.768,"PB1",0.546621907390949
0.77,"PB1",0.546522167303573
0.772,"PB1",0.546420899101357
0.774,"PB1",0.546318067394902
0.776,"PB1",0.546213635693532
0.778,"PB1",0.546107566362129
0.78,"PB1",0.545999820575905
0.782,"PB1",0.545890358273027
0.784,"PB1",0.545779138104944
0.786,"PB1",0.545666117384318
0.788,"PB1",0.545551252030394
0.79,"PB1",0.545434496511676
0.792,"PB1",0.545315803785751
0.794,"PB1",0.545195125236092
0.796,"PB1",0.545072410605664
0.798,"PB1",0.544947607927134
0.8,"PB1",0.544820663449498
0.802,"PB1",0.54469152156089
0.804,"PB1",0.544560124707351
0.806,"PB1",0.544426413307303
0.808,"PB1",0.544290325661465
0.81,"PB1",0.544151797857927
0.812,"PB1",0.54401076367206
0.814,"PB1",0.543867154460956
0.816,"PB1",0.543720899052027
0.818,"PB1",0.543571923625388
0.82,"PB1",0.543420151589619
0.822,"PB1",0.543265503450461
0.824,"PB1",0.543107896671977
0.826,"PB1",0.542947245529672
0.828,"PB1",0.542783460955009
0.83,"PB1",0.542616450370744
0.832,"PB1",0.542446117516437
0.834,"PB1",0.542272362263436
0.836,"PB1",0.542095080418603
0.838,"PB1",0.541914163515967
0.84,"PB1",0.54172949859542
0.842,"PB1",0.541540967967526
0.844,"PB1",0.541348448963392
0.846,"PB1",0.541151813668509
0.848,"PB1",0.54095092863932
0.85,"PB1",0.540745654601223
0.852,"PB1",0.540535846126553
0.854,"PB1",0.540321351290994
0.856,"PB1",0.540102011306697
0.858,"PB1",0.539877660130263
0.86,"PB1",0.539648124043534
0.862,"PB1",0.539413221204996
0.864,"PB1",0.539172761169326
0.866,"PB1",0.538926544372446
0.868,"PB1",0.538674361579139
0.87,"PB1",0.538415993290015
0.872,"PB1",0.538151209104307
0.874,"PB1",0.537879767034592
0.876,"PB1",0.537601412769162
0.878,"PB1",0.537315878877324
0.88,"PB1",0.537022883952395
0.882,"PB1",0.536722131686633
0.884,"PB1",0.536413309871698
0.886,"PB1",0.536096089317576
0.888,"PB1",0.535770122682067
0.89,"PB1",0.535435043202117
0.892,"PB1",0.535090463317234
0.894,"PB1",0.534735973174128
0.896,"PB1",0.534371139000454
0.898,"PB1",0.533995501334076
0.9,"PB1",0.533608573092673
0.902,"PB1",0.533209837466606
0.904,"PB1",0.532798745615916
0.906,"PB1",0.532374714149831
0.908,"PB1",0.531937122364476
0.91,"PB1",0.531485309211262
0.912,"PB1",0.531018569964813
0.914,"PB1",0.530536152555119
0.916,"PB1",0.530037253523755
0.918,"PB1",0.52952101355843
0.92,"PB1",0.528986512553669
0.922,"PB1",0.528432764137899
0.924,"PB1",0.527858709598451
0.926,"PB1",0.52726321112577
0.928,"PB1",0.526645044286116
0.93,"PB1",0.526002889617985
0.932,"PB1",0.525335323230872
0.934,"PB1",0.524640806265415
0.936,"PB1",0.523917673050711
0.938,"PB1",0.523164117766977
0.94,"PB1",0.522378179388742
0.942,"PB1",0.521557724644277
0.944,"PB1",0.520700428679477
0.946,"PB1",0.519803753057152
0.948,"PB1",0.518864920653258
0.95,"PB1",0.517880886927164
0.952,"PB1",0.516848306939865
0.954,"PB1",0.515763497367383
0.956,"PB1",0.514622392600321
0.958,"PB1",0.513420493826846
0.96,"PB1",0.512152809754913
0.962,"PB1",0.510813787327011
0.964,"PB1",0.509397230399257
0.966,"PB1",0.507896203872947
0.968,"PB1",0.506302920149089
0.97,"PB1",0.504608603982694
0.972,"PB1",0.502803330785877
0.974,"PB2c",0.501721212959221
0.976,"PB2c",0.501721212959221
0.978,"PB2c",0.501721212959221
0.98,"PB2c",0.501721212959221
0.982,"PB2c",0.501721212959221
0.984,"PB2c",0.501721212959221
0.986,"PB2c",0.501721212959221
0.988,"PB2c",0.501721212959221
0.99,"PB2c",0.501721212959221
0.992,"PB2c",0.501721212959221
0.994,"PB2c",0.501721212959221
0.996,"PB2c",0.501721212959221
0.998,"NB",0.502124508476552
1,"NB",0.510681910350089
